"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-2.545399904E0,2.284999847E0,-4.010999680E0
9.979688000E-3,-2.744699955E0,2.271499872E0,-3.783299923E0
1.999062500E-2,-2.741199970E0,2.195899963E0,-3.585399866E0
3.000156300E-2,-2.351300001E0,2.037999868E0,-3.471400023E0
3.998125000E-2,-1.763399959E0,1.594499946E0,-3.645099878E0
4.999375000E-2,-5.719999671E-1,-3.559999913E-2,-3.610699892E0
5.997187500E-2,-8.452999592E-1,2.552999854E-1,-2.898399830E0
6.998281300E-2,-1.886999965E0,-1.010399938E0,-2.336299896E0
7.999531300E-2,-9.778999686E-1,-1.529999971E0,-2.146299839E0
8.997500000E-2,3.003000021E-1,-1.303099990E0,-2.116099834E0
9.998593800E-2,8.758999705E-1,-1.737999916E-1,-1.985999942E0
1.099968750E-1,1.570299983E0,4.550999999E-1,-1.389699936E0
1.199765630E-1,2.679199934E0,-1.915999949E-1,-8.288999796E-1
1.299875000E-1,3.589900017E0,-2.005399942E0,-7.925999761E-1
1.399984380E-1,4.312200069E0,-3.722100019E0,-5.777999759E-1
1.499781250E-1,4.280499935E0,-4.523600101E0,-4.272999763E-1
1.599906250E-1,3.598500013E0,-4.396699905E0,-4.194999933E-1
1.700031250E-1,2.023999929E0,-3.634199858E0,1.363999993E-1
1.799812500E-1,5.999000072E-1,-2.706099987E0,1.591499925E0
1.899921880E-1,-3.288999796E-1,-1.862199903E0,3.090099812E0
1.999718750E-1,-5.054000020E-1,-1.240700006E0,4.094200134E0
2.099828130E-1,-6.815999746E-1,-8.653999567E-1,4.516999722E0
2.199937500E-1,-8.218999505E-1,-8.618999720E-1,5.050099850E0
2.299734380E-1,-1.292799950E0,-6.757999659E-1,5.966899872E0
2.399843750E-1,-1.599699974E0,-1.340999901E-1,6.768699646E0
2.499953130E-1,-1.191699982E0,6.506999731E-1,6.846999645E0
2.599750000E-1,-4.675999880E-1,1.547299981E0,6.319099903E0
2.699859380E-1,-4.493999779E-1,1.390599966E0,3.531699896E0
2.799984380E-1,-1.188999936E-1,1.322799921E0,8.743999600E-1
2.899765630E-1,1.413999945E-1,1.471099973E0,-1.270999908E-1
2.999890630E-1,-9.429999441E-2,1.691499949E0,5.722000003E-1
3.100000000E-1,-5.979999900E-1,1.970499992E0,2.089099884E0
3.199796880E-1,-9.722999930E-1,2.174099922E0,3.187500000E0
3.299906250E-1,-8.876000047E-1,1.830599904E0,3.695999861E0
3.400015630E-1,-6.499999762E-1,1.317899942E0,3.684199810E0
3.499812500E-1,-4.027999938E-1,4.721999764E-1,3.026199818E0
3.599937500E-1,-2.554999888E-1,1.582999974E-1,2.205299854E0
3.699734380E-1,-3.720000014E-2,-5.979999900E-2,1.233999968E0
3.799828130E-1,-1.919999905E-2,-2.185999900E-1,1.613999903E-1
3.899953130E-1,1.045999974E-1,-3.606999815E-1,-9.325999618E-1
3.999750000E-1,1.947999895E-1,-6.492999792E-1,-1.703099966E0
4.099859380E-1,4.599999785E-1,-8.606999516E-1,-2.353600025E0
4.199968750E-1,4.077000022E-1,-1.059899926E0,-2.967799902E0
4.299765630E-1,3.914999962E-1,-1.211599946E0,-3.427899837E0
4.399875000E-1,2.318999916E-1,-1.580500007E0,-3.266299963E0
4.499984380E-1,-5.499999970E-3,-1.399599910E0,-3.104799986E0
4.599781250E-1,4.763999879E-1,-1.299099922E0,-3.256999969E0
4.699906250E-1,4.779999852E-1,-1.216099977E0,-3.521499872E0
4.800015630E-1,7.576000094E-1,-1.267699957E0,-4.015999794E0
4.899796880E-1,5.500000119E-1,-1.471099973E0,-4.079699993E0
4.999921880E-1,3.957999945E-1,-1.466099977E0,-4.264100075E0
5.099718750E-1,4.227999747E-1,-1.513499975E0,-4.809899807E0
5.199828130E-1,4.461999834E-1,-1.759899974E0,-7.590199947E0
5.299937500E-1,-1.308200002E0,-1.484200001E0,-5.211599827E0
5.399734380E-1,-3.104399920E0,-1.497200012E0,-2.343499899E0
5.499843750E-1,-2.047399998E0,-1.389999986E0,-2.453999996E0
5.599968750E-1,-3.077999949E-1,-1.270200014E0,-3.968099833E0
5.699765630E-1,2.118999958E-1,-1.086099982E0,-4.654200077E0
5.799859380E-1,-4.807999730E-1,-2.953999937E-1,-4.773499966E0
5.899984380E-1,-1.969799995E0,9.167000055E-1,-4.198699951E0
5.999781250E-1,-2.569000006E0,1.663100004E0,-2.772799969E0
6.099890630E-1,-2.631399870E0,1.694599986E0,-1.649500012E0
6.200000000E-1,-2.631199837E0,1.210199952E0,-7.234999537E-1
6.299796880E-1,-2.406899929E0,1.351199985E0,-5.349000096E-1
6.399906250E-1,-2.817099810E0,1.672199965E0,-1.033499956E0
6.500015630E-1,-3.271799803E0,2.258699894E0,-1.887899995E0
6.599812500E-1,-3.620699883E0,2.012300014E0,-1.399899960E0
6.699937500E-1,-3.674000025E0,6.571999788E-1,3.219999745E-2
6.799734380E-1,-3.042999983E0,-5.586999655E-1,1.805699944E0
6.899843750E-1,3.299999982E-3,-1.111400008E0,2.161900043E0
6.999953130E-1,1.453199983E0,-9.370999932E-1,3.890499830E0
7.099750000E-1,1.663499951E0,-3.182999790E-1,3.477999926E0
7.199859380E-1,1.676299930E0,1.909999922E-2,3.381999969E0
7.299968750E-1,1.480299950E0,1.171000004E-1,2.746099949E0
7.399765630E-1,1.213400006E0,3.898999989E-1,2.395999908E0
7.499875000E-1,8.664999604E-1,7.093999982E-1,3.336799860E0
7.599984380E-1,1.116799951E0,6.326999664E-1,5.156399727E0
7.699781250E-1,1.320299983E0,6.089999676E-1,6.981400013E0
7.799906250E-1,1.432299972E0,4.122000039E-1,7.898999691E0
7.900015630E-1,1.351799965E0,-1.860000007E-2,7.491699696E0
7.999796880E-1,1.317499995E0,-5.587999821E-1,6.427899837E0
8.099921880E-1,1.494599938E0,-1.036899924E0,5.251199722E0
8.199718750E-1,1.917799950E0,-1.732699990E0,3.993199825E0
8.299828130E-1,2.313599825E0,-2.054899931E0,2.919999838E0
8.399937500E-1,2.732199907E0,-1.965299964E0,2.106999874E0
8.499734380E-1,2.857100010E0,-1.907899976E0,1.410499930E0
8.599843750E-1,2.821699858E0,-1.933499932E0,7.588999867E-1
8.699968750E-1,2.855799913E0,-2.051100016E0,2.716000080E-1
8.799765630E-1,2.502499819E0,-1.998199940E0,4.918999970E-1
8.899875000E-1,1.713699937E0,-1.617799997E0,5.562999845E-1
8.999984380E-1,1.032999992E0,-1.326499939E0,6.186999679E-1
9.099781250E-1,6.154999733E-1,-1.083599925E0,2.965999842E-1
9.199890630E-1,5.762999654E-1,-8.535999656E-1,1.081999987E-1
9.300000000E-1,5.831999779E-1,-5.224999785E-1,1.316999942E-1
9.399796880E-1,9.437999725E-1,-3.350999951E-1,-2.280000001E-1
9.499921880E-1,1.259899974E0,-2.760999799E-1,-8.592999578E-1
9.600015630E-1,1.492799997E0,2.569999918E-2,-1.805099964E0
9.699812500E-1,1.523899913E0,2.883000076E-1,-2.514600039E0
9.799937500E-1,1.162299991E0,6.599000096E-1,-3.260999918E0
9.899734380E-1,7.972999811E-1,8.014000058E-1,-3.771899939E0
9.999843750E-1,6.886000037E-1,9.057999849E-1,-4.046099663E0
1.009995313E0,5.432999730E-1,7.675999999E-1,-3.886399984E0
1.019975000E0,3.989000022E-1,8.865000010E-1,-3.605000019E0
1.029985938E0,3.300999999E-1,8.345999718E-1,-3.398299932E0
1.039996875E0,2.937999964E-1,9.941999912E-1,-3.146299839E0
1.049976563E0,2.540999949E-1,8.646000028E-1,-2.850600004E0
1.059989063E0,2.577999830E-1,7.597999573E-1,-2.550999880E0
1.070000000E0,3.165999949E-1,5.925999880E-1,-2.325399876E0
1.079979688E0,3.912999928E-1,5.631999969E-1,-2.410099983E0
1.089990625E0,5.572000146E-1,4.883999825E-1,-2.924700022E0
1.100001563E0,7.985000014E-1,3.682999909E-1,-3.356899977E0
1.109981250E0,1.181399941E0,2.805999815E-1,-3.390399933E0
1.119992188E0,1.367299914E0,7.199999690E-2,-3.145499945E0
1.129971875E0,1.267499924E0,-1.755999923E-1,-2.777999878E0
1.139982813E0,1.170499921E0,-2.967000008E-1,-2.716300011E0
1.149993750E0,9.326999784E-1,-5.970999599E-1,-2.336899996E0
1.159973438E0,6.897000074E-1,-9.511999488E-1,-1.959599972E0
1.169984375E0,2.759999931E-1,-1.427699924E0,-1.360899925E0
1.179996875E0,-1.089999974E-1,-1.675099969E0,-5.821999907E-1
1.189976563E0,-5.541999936E-1,-1.849499941E0,4.450999796E-1
1.199987500E0,-6.372999549E-1,-2.021899939E0,1.916599989E0
1.209998438E0,-3.386999965E-1,-1.916599989E0,3.210700035E0
1.219978125E0,-1.028999984E-1,-1.930699944E0,4.295000076E0
1.229989063E0,1.614999920E-1,-1.949299932E0,4.904599667E0
1.240000000E0,2.949999869E-1,-1.584399939E0,4.778399944E0
1.249979688E0,5.331999660E-1,-1.162699938E0,4.153999805E0
1.259990625E0,9.030999541E-1,-9.246999621E-1,3.426699877E0
1.270001563E0,1.098399997E0,-8.499000072E-1,2.863999844E0
1.279982813E0,1.092499971E0,-9.739999771E-1,2.343999863E0
1.289993750E0,8.946999907E-1,-1.128199935E0,1.940400004E0
1.299973438E0,7.032999992E-1,-9.804999828E-1,1.774099946E0
1.309984375E0,4.833999872E-1,-8.033999801E-1,1.803900003E0
1.319995313E0,3.551999927E-1,-4.834999740E-1,2.186199903E0
1.329975000E0,9.109999985E-2,-2.078999877E-1,2.603299856E0
1.339985938E0,-1.867999882E-1,2.389999852E-2,2.740200043E0
1.349996875E0,-5.522999763E-1,4.005999863E-1,2.910399914E0
1.359976563E0,-1.040499926E0,7.268999815E-1,2.956399918E0
1.369989063E0,-1.314399958E0,8.870999813E-1,3.118099928E0
1.380000000E0,-1.619300008E0,1.036700010E0,3.163199902E0
1.389979688E0,-1.722799897E0,1.029899955E0,3.248299837E0
1.399990625E0,-1.677699924E0,1.204699993E0,2.867799997E0
1.410001563E0,-1.411999941E0,1.363299966E0,2.493499994E0
1.419981250E0,-1.094900012E0,1.422500014E0,1.421399951E0
1.429993750E0,-7.669999599E-1,1.580299973E0,2.392999977E-1
1.439971875E0,-4.338999987E-1,1.566499949E0,-1.052500010E0
1.449982813E0,-2.029999942E-1,1.533899903E0,-2.259299994E0
1.459995313E0,-3.246999979E-1,1.337299943E0,-3.111599922E0
1.469973438E0,-5.600000024E-1,1.166000009E0,-3.765899897E0
1.479984375E0,-9.373999834E-1,9.795999527E-1,-4.262599945E0
1.489996875E0,-1.260800004E0,7.554999590E-1,-4.760799885E0
1.499976563E0,-1.633199930E0,5.412999988E-1,-4.754399776E0
