"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,2.911349297E0,8.465897560E0,4.367023945E0
7.995313000E-3,2.873042107E0,8.350975990E0,4.290409565E0
1.300156300E-2,2.911349297E0,8.389283180E0,4.290409565E0
1.800781300E-2,2.949656487E0,8.312667847E0,4.175487995E0
2.298125000E-2,2.949656487E0,8.236053467E0,4.137180328E0
2.798750000E-2,3.064578056E0,8.121131897E0,4.137180328E0
3.299218800E-2,3.141192675E0,8.082824707E0,4.060565948E0
3.799843800E-2,3.179499865E0,8.082824707E0,4.213795185E0
4.300312500E-2,2.987963676E0,8.121131897E0,4.328716755E0
4.800937500E-2,2.834734917E0,8.197746277E0,4.558559895E0
5.298437500E-2,2.681505919E0,8.350975990E0,4.711789131E0
5.798906300E-2,2.489969730E0,8.389283180E0,4.903325081E0
6.299375000E-2,2.336740971E0,8.465897560E0,5.171475887E0
6.800000000E-2,2.298433542E0,8.848969460E0,5.286397457E0
7.300625000E-2,2.183511972E0,9.040505409E0,5.516240597E0
7.801093800E-2,2.375048161E0,9.155426979E0,5.592854977E0
8.298593800E-2,2.375048161E0,9.117119789E0,5.707777023E0
8.799062500E-2,2.336740971E0,8.963891029E0,5.477933407E0
9.299687500E-2,2.298433542E0,8.734047890E0,5.401319027E0
9.800156300E-2,2.375048161E0,8.542511940E0,5.324704647E0
1.030078130E-1,2.336740971E0,8.350975990E0,5.286397457E0
1.079828130E-1,2.260126352E0,8.197746277E0,5.133168221E0
1.129875000E-1,2.145204782E0,8.082824707E0,5.056553841E0
1.179937500E-1,1.953668594E0,8.006210327E0,5.056553841E0
1.229984380E-1,1.877054095E0,7.852981567E0,5.171475887E0
1.280046880E-1,1.647210717E0,7.738059998E0,5.248090267E0
1.330093750E-1,1.417367458E0,7.738059998E0,5.286397457E0
1.379843750E-1,1.340752959E0,7.814674377E0,5.171475887E0
1.429890630E-1,1.302445769E0,7.776367188E0,5.248090267E0
1.479953130E-1,1.149216771E0,7.776367188E0,5.171475887E0
1.530000000E-1,1.034295082E0,7.738059998E0,5.094861031E0
1.580062500E-1,9.576807022E-1,7.891288757E0,5.056553841E0
1.630125000E-1,1.072602391E0,7.852981567E0,5.133168221E0
1.679859380E-1,1.149216771E0,7.891288757E0,5.171475887E0
1.729921880E-1,1.340752959E0,7.814674377E0,5.286397457E0
1.779968750E-1,1.647210717E0,7.814674377E0,5.363011837E0
1.830031250E-1,1.800439715E0,7.623138428E0,5.286397457E0
1.880093750E-1,1.953668594E0,7.469909191E0,5.439626217E0
1.929843750E-1,2.183511972E0,7.393294811E0,5.592854977E0
1.979890630E-1,2.106897593E0,7.393294811E0,5.592854977E0
2.029937500E-1,2.260126352E0,7.508216381E0,5.439626217E0
2.079984380E-1,2.260126352E0,7.584830761E0,5.209783077E0
2.130046880E-1,2.336740971E0,7.584830761E0,5.209783077E0
2.180109380E-1,2.375048161E0,7.738059998E0,4.941632271E0
2.229843750E-1,2.375048161E0,7.852981567E0,4.596867085E0
2.279890630E-1,2.375048161E0,7.929595947E0,4.443638325E0
2.329953130E-1,2.451662540E0,7.891288757E0,4.481945515E0
2.380015630E-1,2.413355350E0,7.891288757E0,4.596867085E0
2.430078130E-1,2.566584110E0,7.852981567E0,5.018246651E0
2.480125000E-1,2.643198729E0,7.891288757E0,5.209783077E0
2.529859380E-1,2.681505919E0,7.814674377E0,5.401319027E0
2.579921880E-1,2.528276920E0,7.891288757E0,5.401319027E0
2.629984380E-1,2.489969730E0,8.082824707E0,5.286397457E0
2.680046880E-1,2.489969730E0,8.082824707E0,5.286397457E0
2.730093750E-1,2.451662540E0,7.852981567E0,5.171475887E0
2.779828130E-1,2.451662540E0,7.891288757E0,5.018246651E0
2.829906250E-1,2.451662540E0,7.967903137E0,4.941632271E0
2.879937500E-1,2.298433542E0,7.891288757E0,4.903325081E0
2.930000000E-1,2.260126352E0,8.044517517E0,4.788403511E0
2.980062500E-1,2.183511972E0,8.006210327E0,4.635174274E0
3.030109380E-1,2.106897593E0,7.929595947E0,4.596867085E0
3.079859380E-1,1.953668594E0,7.929595947E0,4.673481941E0
3.129906250E-1,2.106897593E0,7.929595947E0,4.865017891E0
3.179968750E-1,2.183511972E0,7.814674377E0,4.979939461E0
3.230015630E-1,2.068590164E0,7.929595947E0,5.056553841E0
3.280078130E-1,2.145204782E0,7.891288757E0,5.056553841E0
3.329828130E-1,2.106897593E0,7.891288757E0,5.171475887E0
3.379859380E-1,2.068590164E0,7.967903137E0,5.094861031E0
3.429921880E-1,1.838746905E0,7.891288757E0,4.979939461E0
3.479984380E-1,1.762132406E0,7.891288757E0,5.056553841E0
3.530046880E-1,1.838746905E0,7.891288757E0,5.094861031E0
3.580093750E-1,1.723825216E0,7.891288757E0,5.094861031E0
3.629828130E-1,1.647210717E0,7.929595947E0,5.133168221E0
3.679890630E-1,1.685518026E0,7.967903137E0,5.286397457E0
3.729937500E-1,1.647210717E0,8.006210327E0,5.324704647E0
3.780015630E-1,1.493981838E0,7.967903137E0,5.439626217E0
3.830062500E-1,1.379060149E0,7.929595947E0,5.554547787E0
3.880109380E-1,1.417367458E0,7.929595947E0,5.554547787E0
3.929859380E-1,1.493981838E0,7.891288757E0,5.554547787E0
3.979906250E-1,1.570596337E0,7.814674377E0,5.554547787E0
4.029968750E-1,1.570596337E0,7.776367188E0,5.439626217E0
4.080031250E-1,1.532289028E0,7.852981567E0,5.363011837E0
