Time (s),Latitude (°),Longitude (°)
0.000000000E0,9.889404835E0,8.890274548E0
1.917265620E-1,9.889398545E0,8.890319435E0
1.222153645E0,9.889451633E0,8.890321104E0
2.197397395E0,9.889447809E0,8.890359746E0
2.847936458E0,9.889588087E0,8.890321527E0
3.825280728E0,9.889549725E0,8.890386008E0
4.824506770E0,9.889576648E0,8.890420436E0
5.825022916E0,9.889610899E0,8.890432359E0
6.845449478E0,9.889649865E0,8.890432137E0
7.843773436E0,9.889689686E0,8.890417007E0
8.848226040E0,9.889733081E0,8.890392058E0
9.823374477E0,9.889777770E0,8.890364444E0
1.083778750E1,9.889823264E0,8.890334263E0
1.183975833E1,9.889865211E0,8.890305856E0
1.285474635E1,9.889904228E0,8.890281639E0
1.383763229E1,9.889945384E0,8.890257966E0
1.486517760E1,9.889988317E0,8.890237270E0
1.586337291E1,9.890025771E0,8.890225766E0
1.683788333E1,9.890058864E0,8.890215878E0
1.784213229E1,9.890090109E0,8.890206644E0
1.887340937E1,9.890122805E0,8.890194612E0
1.985699531E1,9.890159723E0,8.890183314E0
2.086538593E1,9.890198827E0,8.890171052E0
2.186502708E1,9.890238741E0,8.890155552E0
2.283182239E1,9.890274831E0,8.890141120E0
2.382775416E1,9.890310609E0,8.890126875E0
2.484248437E1,9.890342503E0,8.890120132E0
2.584282083E1,9.890369489E0,8.890129118E0
2.684334166E1,9.890397150E0,8.890147707E0
2.783830520E1,9.890419955E0,8.890178024E0
2.883360468E1,9.890437222E0,8.890217921E0
2.983736718E1,9.890452503E0,8.890263508E0
3.083785729E1,9.890474392E0,8.890304385E0
3.184206354E1,9.890500394E0,8.890336965E0
3.284350989E1,9.890530907E0,8.890357257E0
3.382858176E1,9.890565069E0,8.890374270E0
3.483565468E1,9.890603547E0,8.890381578E0
3.583274583E1,9.890643866E0,8.890383177E0
3.684159531E1,9.890679866E0,8.890378486E0
3.784368437E1,9.890712404E0,8.890369118E0
3.884179895E1,9.890742924E0,8.890358971E0
3.982670989E1,9.890773665E0,8.890350463E0
4.083712187E1,9.890805635E0,8.890346249E0
4.184363437E1,9.890840958E0,8.890344153E0
4.284019531E1,9.890875644E0,8.890345657E0
4.383541458E1,9.890905585E0,8.890350618E0
4.483822604E1,9.890923217E0,8.890369860E0
4.583834426E1,9.890931702E0,8.890410477E0
4.684374999E1,9.890929757E0,8.890466748E0
4.782450260E1,9.890925070E0,8.890524620E0
4.884142760E1,9.890913018E0,8.890580583E0
4.985447916E1,9.890903534E0,8.890631966E0
