
time,ax,ay,az,Latitude,Longitude,Speed (m/s),
0.0530,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0770,0.0000,0.0000,0.0000,9.89320918,8.88874329,0.00000000,
0.0790,0.0000,0.0000,0.0000,9.89320918,8.88874329,0.00000000,
0.0790,0.0000,0.0000,0.0000,9.89320918,8.88874329,0.00000000,
0.0800,0.0000,0.0000,0.0000,9.89320918,8.88874329,0.00000000,
0.0800,2.3870,-3.6219,2.6446,9.89320918,8.88874329,0.00000000,
0.0810,2.3870,-3.6219,2.6446,9.89320918,8.88874329,0.00000000,
0.0820,2.3870,-3.6219,2.6446,9.89320918,8.88874329,0.00000000,
0.0900,2.3870,-3.6219,2.6446,9.89320918,8.88874329,0.00000000,
0.0910,2.3870,-3.6219,2.6446,9.89320918,8.88874329,0.00000000,
0.1000,2.2074,-4.0526,2.7676,9.89320918,8.88874329,0.00000000,
0.1010,2.2074,-4.0526,2.7676,9.89320918,8.88874329,0.00000000,
0.1020,2.2074,-4.0526,2.7676,9.89320918,8.88874329,0.00000000,
0.1110,2.2074,-4.0526,2.7676,9.89320918,8.88874329,0.00000000,
0.1120,2.2074,-4.0526,2.7676,9.89320918,8.88874329,0.00000000,
0.1140,2.0207,-4.4915,3.1504,9.89320918,8.88874329,0.00000000,
0.1200,2.0207,-4.4915,3.1504,9.89320918,8.88874329,0.00000000,
0.1220,2.0207,-4.4915,3.1504,9.89320918,8.88874329,0.00000000,
0.1300,2.0207,-4.4915,3.1504,9.89320918,8.88874329,0.00000000,
0.1320,2.0207,-4.4915,3.1504,9.89320918,8.88874329,0.00000000,
0.1340,2.0010,-4.1692,2.0640,9.89320918,8.88874329,0.00000000,
0.1400,2.0010,-4.1692,2.0640,9.89320918,8.88874329,0.00000000,
0.1410,2.0010,-4.1692,2.0640,9.89320918,8.88874329,0.00000000,
0.1500,2.0010,-4.1692,2.0640,9.89320918,8.88874329,0.00000000,
0.1510,2.0010,-4.1692,2.0640,9.89320918,8.88874329,0.00000000,
0.1530,1.9117,-3.4643,-0.2838,9.89320918,8.88874329,0.00000000,
0.1610,1.9117,-3.4643,-0.2838,9.89320918,8.88874329,0.00000000,
0.1640,1.9117,-3.4643,-0.2838,9.89320918,8.88874329,0.00000000,
0.1700,1.9117,-3.4643,-0.2838,9.89320918,8.88874329,0.00000000,
0.1720,1.9117,-3.4643,-0.2838,9.89320918,8.88874329,0.00000000,
0.1730,1.6733,-2.5029,-2.1660,9.89320918,8.88874329,0.00000000,
0.1800,1.6733,-2.5029,-2.1660,9.89320918,8.88874329,0.00000000,
0.1820,1.6733,-2.5029,-2.1660,9.89320918,8.88874329,0.00000000,
0.1900,1.6733,-2.5029,-2.1660,9.89320918,8.88874329,0.00000000,
0.1920,1.6733,-2.5029,-2.1660,9.89320918,8.88874329,0.00000000,
0.1950,1.6259,-2.3303,-2.6336,9.89320918,8.88874329,0.00000000,
0.2000,1.6259,-2.3303,-2.6336,9.89320918,8.88874329,0.00000000,
0.2020,1.6259,-2.3303,-2.6336,9.89320918,8.88874329,0.00000000,
0.2100,1.6259,-2.3303,-2.6336,9.89320918,8.88874329,0.00000000,
0.2130,1.6259,-2.3303,-2.6336,9.89320918,8.88874329,0.00000000,
0.2140,1.6448,-2.4951,-2.2473,9.89320918,8.88874329,0.00000000,
0.2200,1.6448,-2.4951,-2.2473,9.89320918,8.88874329,0.00000000,
0.2210,1.6448,-2.4951,-2.2473,9.89320918,8.88874329,0.00000000,
0.2300,1.6448,-2.4951,-2.2473,9.89320918,8.88874329,0.00000000,
0.2320,1.6448,-2.4951,-2.2473,9.89320918,8.88874329,0.00000000,
0.2330,1.6204,-2.4543,-2.1788,9.89320918,8.88874329,0.00000000,
0.2400,1.6204,-2.4543,-2.1788,9.89320918,8.88874329,0.00000000,
0.2410,1.6204,-2.4543,-2.1788,9.89320918,8.88874329,0.00000000,
0.2500,1.6204,-2.4543,-2.1788,9.89320918,8.88874329,0.00000000,
0.2520,1.6204,-2.4543,-2.1788,9.89320918,8.88874329,0.00000000,
